[20:33:19 15-05-2023] temp:12.94, humid:28.24, atm:1001.32
[22:29:58 15-05-2023] temp:24.64, humid:57.83, atm:1019.66
[22:30:01 15-05-2023] temp:25.89, humid:54.32, atm:1024.80
[22:30:04 15-05-2023] temp:23.70, humid:58.78, atm:1028.37
[22:30:07 15-05-2023] temp:25.94, humid:61.48, atm:1033.48
[22:30:10 15-05-2023] temp:24.50, humid:63.57, atm:1037.51
[22:30:13 15-05-2023] temp:25.92, humid:68.09, atm:1041.24
[22:30:16 15-05-2023] temp:23.79, humid:63.12, atm:1047.23
[22:30:19 15-05-2023] temp:25.93, humid:67.61, atm:1051.65
[22:30:22 15-05-2023] temp:24.38, humid:71.93, atm:1056.09
[22:30:25 15-05-2023] temp:22.07, humid:76.38, atm:1050.34
[22:30:28 15-05-2023] temp:20.33, humid:78.47, atm:1055.94
[22:30:31 15-05-2023] temp:22.25, humid:80.78, atm:1059.59
[22:30:34 15-05-2023] temp:19.87, humid:83.22, atm:1064.53
[22:30:37 15-05-2023] temp:17.69, humid:86.57, atm:1068.70
[22:30:40 15-05-2023] temp:18.96, humid:84.41, atm:1064.81
[22:30:43 15-05-2023] temp:17.32, humid:79.96, atm:1059.96
[22:30:46 15-05-2023] temp:18.94, humid:84.88, atm:1065.11
[22:30:49 15-05-2023] temp:16.64, humid:81.83, atm:1069.14
[22:30:52 15-05-2023] temp:18.22, humid:86.71, atm:1075.12
[22:30:55 15-05-2023] temp:16.32, humid:81.89, atm:1081.11
[22:30:58 15-05-2023] temp:17.35, humid:77.09, atm:1084.30
[22:31:01 15-05-2023] temp:16.04, humid:74.07, atm:1079.79
[22:31:04 15-05-2023] temp:13.89, humid:70.27, atm:1084.44
[22:31:07 15-05-2023] temp:12.43, humid:68.23, atm:1079.32
[22:31:10 15-05-2023] temp:14.70, humid:64.20, atm:1083.56
[22:31:13 15-05-2023] temp:13.29, humid:59.82, atm:1088.64
[22:31:16 15-05-2023] temp:15.33, humid:55.46, atm:1094.11
[22:31:19 15-05-2023] temp:16.90, humid:59.95, atm:1097.35
[22:31:22 15-05-2023] temp:15.72, humid:56.49, atm:1093.25
[22:31:25 15-05-2023] temp:17.09, humid:53.43, atm:1098.15
[22:31:28 15-05-2023] temp:18.41, humid:55.83, atm:1093.57
[22:31:31 15-05-2023] temp:20.12, humid:52.88, atm:1088.58
[22:31:34 15-05-2023] temp:22.17, humid:56.55, atm:1084.63
[22:31:37 15-05-2023] temp:20.15, humid:53.58, atm:1087.97
[22:31:40 15-05-2023] temp:17.96, humid:49.06, atm:1093.91
[22:31:43 15-05-2023] temp:19.89, humid:53.87, atm:1098.89
[22:31:46 15-05-2023] temp:20.97, humid:51.42, atm:1104.22
[22:31:49 15-05-2023] temp:19.35, humid:46.61, atm:1099.13
[22:31:52 15-05-2023] temp:18.15, humid:51.18, atm:1095.89
[22:31:55 15-05-2023] temp:16.95, humid:53.29, atm:1100.99
[22:31:58 15-05-2023] temp:18.59, humid:55.84, atm:1097.00
[22:32:01 15-05-2023] temp:16.87, humid:58.48, atm:1100.57
[22:32:04 15-05-2023] temp:18.60, humid:60.75, atm:1095.08
[22:32:07 15-05-2023] temp:20.76, humid:65.45, atm:1090.93
[22:32:10 15-05-2023] temp:19.51, humid:63.21, atm:1085.87
[22:32:13 15-05-2023] temp:18.02, humid:65.81, atm:1081.57
[22:32:16 15-05-2023] temp:15.68, humid:61.91, atm:1084.88
[22:32:19 15-05-2023] temp:14.51, humid:65.29, atm:1081.01
[22:32:22 15-05-2023] temp:15.99, humid:60.80, atm:1085.66
[22:32:25 15-05-2023] temp:18.09, humid:56.65, atm:1081.98
[22:32:28 15-05-2023] temp:15.79, humid:54.51, atm:1086.18
[22:32:31 15-05-2023] temp:17.06, humid:49.77, atm:1082.24
[22:32:34 15-05-2023] temp:19.06, humid:45.77, atm:1086.22
[22:32:37 15-05-2023] temp:17.97, humid:50.75, atm:1090.41
[22:32:40 15-05-2023] temp:16.52, humid:53.50, atm:1095.73
[22:32:43 15-05-2023] temp:15.37, humid:57.78, atm:1100.36
[22:32:46 15-05-2023] temp:14.01, humid:62.25, atm:1105.96
[22:32:49 15-05-2023] temp:12.33, humid:66.39, atm:1101.94
[22:32:52 15-05-2023] temp:10.92, humid:62.48, atm:1098.11
[22:32:55 15-05-2023] temp:9.72, humid:67.15, atm:1094.83
[22:32:58 15-05-2023] temp:11.21, humid:64.52, atm:1089.58
[22:33:01 15-05-2023] temp:10.13, humid:67.92, atm:1094.21
[22:33:04 15-05-2023] temp:11.61, humid:70.78, atm:1089.75
[22:33:07 15-05-2023] temp:10.17, humid:75.26, atm:1094.34
[22:33:10 15-05-2023] temp:8.75, humid:80.24, atm:1099.65
[22:33:13 15-05-2023] temp:7.11, humid:83.93, atm:1105.34
[22:33:16 15-05-2023] temp:6.10, humid:80.37, atm:1102.29
[22:33:19 15-05-2023] temp:8.38, humid:83.16, atm:1107.76
[22:33:22 15-05-2023] temp:10.06, humid:79.77, atm:1113.01
[22:33:25 15-05-2023] temp:12.37, humid:75.78, atm:1107.44
[22:33:28 15-05-2023] temp:9.99, humid:73.20, atm:1104.16
[22:33:31 15-05-2023] temp:11.89, humid:76.49, atm:1101.05
[22:33:34 15-05-2023] temp:10.69, humid:80.42, atm:1095.89
[22:33:37 15-05-2023] temp:12.06, humid:76.06, atm:1090.73
[22:33:40 15-05-2023] temp:10.19, humid:73.10, atm:1086.07
[22:33:43 15-05-2023] temp:8.51, humid:77.96, atm:1082.82
[22:33:46 15-05-2023] temp:6.33, humid:81.39, atm:1079.45
[22:33:49 15-05-2023] temp:4.42, humid:77.65, atm:1074.74
[22:33:52 15-05-2023] temp:5.43, humid:79.92, atm:1080.37
[22:33:55 15-05-2023] temp:7.32, humid:77.02, atm:1076.49
[22:33:58 15-05-2023] temp:8.54, humid:80.91, atm:1081.48
[22:34:01 15-05-2023] temp:7.22, humid:76.14, atm:1086.52
[22:34:04 15-05-2023] temp:8.45, humid:73.23, atm:1089.87
[22:34:07 15-05-2023] temp:6.11, humid:68.52, atm:1084.80
[22:34:10 15-05-2023] temp:8.16, humid:65.84, atm:1090.24
[22:34:13 15-05-2023] temp:10.16, humid:68.62, atm:1094.54
[22:34:16 15-05-2023] temp:9.05, humid:64.42, atm:1089.18
[22:34:19 15-05-2023] temp:11.12, humid:60.73, atm:1085.86
[22:34:22 15-05-2023] temp:12.51, humid:65.68, atm:1082.21
[22:34:25 15-05-2023] temp:13.67, humid:68.30, atm:1085.28
[22:34:28 15-05-2023] temp:12.05, humid:70.41, atm:1081.84
[22:34:31 15-05-2023] temp:13.13, humid:66.05, atm:1086.71
[22:34:34 15-05-2023] temp:11.15, humid:62.15, atm:1082.35
[22:34:37 15-05-2023] temp:13.24, humid:65.29, atm:1086.94
[22:34:40 15-05-2023] temp:11.47, humid:67.79, atm:1082.72
[22:34:43 15-05-2023] temp:13.08, humid:70.01, atm:1088.57
[22:34:46 15-05-2023] temp:11.08, humid:66.19, atm:1094.33
[22:34:49 15-05-2023] temp:10.03, humid:62.86, atm:1097.57
[22:34:52 15-05-2023] temp:8.19, humid:59.56, atm:1102.78
[22:34:55 15-05-2023] temp:6.93, humid:56.51, atm:1107.75
[22:34:58 15-05-2023] temp:4.94, humid:59.45, atm:1113.05
[22:35:01 15-05-2023] temp:3.65, humid:54.92, atm:1109.37
[22:35:04 15-05-2023] temp:2.24, humid:58.70, atm:1105.74
[22:35:07 15-05-2023] temp:0.57, humid:56.40, atm:1110.24
[22:35:10 15-05-2023] temp:-0.70, humid:59.98, atm:1113.73
[22:35:13 15-05-2023] temp:-3.07, humid:55.88, atm:1119.03
[22:35:16 15-05-2023] temp:-1.18, humid:51.59, atm:1115.96
[22:35:19 15-05-2023] temp:0.57, humid:47.09, atm:1112.48
[22:35:22 15-05-2023] temp:2.72, humid:51.19, atm:1108.43
[22:35:25 15-05-2023] temp:3.77, humid:46.57, atm:1103.62
[22:35:28 15-05-2023] temp:5.04, humid:51.28, atm:1098.98
[22:35:31 15-05-2023] temp:6.42, humid:46.49, atm:1102.34
[22:35:34 15-05-2023] temp:7.76, humid:43.80, atm:1105.99
[22:35:37 15-05-2023] temp:5.81, humid:46.30, atm:1101.83
[22:35:40 15-05-2023] temp:4.42, humid:48.72, atm:1098.37
[22:35:43 15-05-2023] temp:2.37, humid:50.95, atm:1103.20
[22:35:46 15-05-2023] temp:4.11, humid:46.03, atm:1099.11
[22:35:49 15-05-2023] temp:6.41, humid:43.71, atm:1102.17
[22:35:52 15-05-2023] temp:4.30, humid:46.93, atm:1107.79
